120,3324,868,451,5492,5811,
4145,3010,3814,4085,5413,3260,
1249,5809,1308,3484,4115,3201,
337,2408,6185,5484,279,554,
5749,128,3777,5667,1014,1939,
245,3492,4213,6181,2016,4284,
4028,63,1708,3138,2040,4521,
2603,48,2051,3000,4920,4256,
144,6084,3266,3504,1985,3821,
2399,337,1014,1038,2408,1308,
3010,5809,868,120,1939,3492,
4028,3814,3484,5749,1708,3324,
451,2016,4115,5811,3777,2603,
4521,144,4256,6084,3201,2051,
1038,48,3138,1249,4145,3260,
3266,4284,554,63,4085,5667,
5484,4213,5492,245,279,3504,
2040,5413,128,6185,4920,6181,
2399,3821,3814,1985,3000,2016,
5811,6084,3324,2051,3777,3260,
48,3266,3201,1939,5809,4028,
245,337,144,451,2603,4145,
1014,554,3492,5484,1249,2040,
4284,4521,4213,2399,1985,5749,
6181,279,3138,868,1308,5667,
3000,5413,5492,128,4085,1038,
3821,2408,4115,4920,63,3484,
3504,3010,120,4256,1708,6185,
1939,3324,1985,554,337,4145,
2040,4213,1308,6084,2603,3138,
4085,3777,5492,2399,3266,6181,
3821,5413,1014,4284,4115,48,
5811,5667,3000,3201,3010,63,
6185,3484,1038,868,279,2051,
3492,4920,3504,245,3814,4521,
4028,5749,2016,120,144,3260,
5484,4256,451,1249,128,1708,
2408,4213,3000,5809,6084,5413,
6181,63,1985,3324,4145,1014,
2399,1038,279,48,2040,3492,
3010,4284,2603,5492,3504,3484,
3777,5484,4028,4920,868,3821,
120,2408,5667,1249,144,3814,
1939,6185,451,1308,4521,4085,
4115,337,3260,2051,3266,4256,
3138,245,5749,5811,128,3201,
1708,5809,4920,554,2016,48,
4145,3821,5667,2603,120,4213,
6185,279,1249,3814,63,3777,
6181,3492,337,4028,6084,3010,
3260,4284,3138,451,128,2408,
1939,3201,1708,1038,4115,1985,
2040,1014,245,3324,5809,2051,
3000,5484,1308,5492,3266,5749,
144,5413,5811,3484,554,4521,
2016,4085,2399,4256,868,3504,
4284,1939,6084,279,4920,4028,
120,245,128,48,63,337,
4145,3201,5492,2408,3814,2040,
3010,4521,6185,3266,4213,1249,
2399,3260,2603,1708,1014,5811,
1038,2051,451,3504,5749,554,
3484,3492,1985,3777,3138,3000,
4256,4085,6181,144,5809,3821,
3324,2016,1308,5413,5667,5484,
868,128,4521,4115,6084,2040,
1708,279,3266,4145,5811,245,
48,3777,1985,3010,2051,2408,
3260,3201,554,2603,6181,3484,
4028,2399,5667,5809,5484,6185,
2016,63,3821,1038,1939,5492,
4256,5413,5749,3492,451,3138,
3000,120,1249,4920,4284,3324,
3814,868,337,1014,4213,144,
3504,4085,2408,1308,4115,4028,
63,4145,6084,5484,3010,2399,
5667,451,3484,4256,1939,2040,
3324,48,279,4521,3201,2016,
4920,5811,3814,5809,1038,4284,
2051,3138,1014,4085,120,3266,
6181,1708,3504,337,5749,3000,
4115,144,5492,3492,6185,3260,
554,1308,128,3777,3821,4213,
2603,245,868,1985,1249,5413,
3484,48,6084,3814,4085,451,
1038,6181,5484,5811,4521,120,
2051,1708,4145,5492,4284,5667,
2016,1014,4256,3000,4028,6185,
1939,3266,2603,2408,868,3492,
3777,3201,5809,5413,3504,337,
4920,1985,3260,279,63,1308,
3821,5749,2040,4115,245,3010,
3324,144,554,2399,128,3138,
1249,5811,48,4213,2051,1939,
